Date,Open,High,Low,Close,Volume,Adj Close
1/8/2009,1268.074341,1292.228149,1264.048706,1276.12561,10672590,1276.12561
1/9/2009,1280.151245,1288.202515,1276.12561,1280.151245,9593241,1280.151245
1/12/2009,1276.12561,1280.151245,1268.074341,1280.151245,4569685,1280.151245
1/13/2009,1272.099976,1272.099976,1255.997437,1260.023071,6167684,1260.023071
1/14/2009,1247.946167,1284.17688,1247.946167,1260.023071,6020138,1260.023071
1/15/2009,1251.971802,1260.023071,1251.971802,1255.997437,3187529,1255.997437
1/16/2009,1255.997437,1264.048706,1247.946167,1251.971802,3023588,1251.971802
1/19/2009,1251.971802,1251.971802,1235.869263,1235.869263,4007288,1235.869263
1/20/2009,1235.869263,1235.869263,1227.817993,1231.843628,3544002,1231.843628
1/21/2009,1227.817993,1231.843628,1211.715454,1211.715454,3550228,1211.715454
1/22/2009,1227.817993,1227.817993,1219.766724,1227.817993,1217187,1227.817993
1/23/2009,1219.766724,1243.920532,1219.766724,1239.894897,1174950,1239.894897
1/26/2009,NA,NA,NA,NA,NA,NA
1/27/2009,NA,NA,NA,NA,NA,NA
1/28/2009,NA,NA,NA,NA,NA,NA
1/29/2009,NA,NA,NA,NA,NA,NA
1/30/2009,NA,NA,NA,NA,NA,NA
2/2/2009,1235.869263,1239.894897,1199.63855,1207.689819,4415925,1207.689819
2/3/2009,1199.63855,1199.63855,1179.510498,1183.536133,5603800,1183.536133
2/4/2009,1155.356689,1191.58728,1131.202881,1143.279785,7430590,1143.279785
2/5/2009,1127.177246,1131.202881,1094.972168,1098.997803,6429767,1098.997803
2/6/2009,1111.074707,1119.125977,1098.997803,1119.125977,6282218,1119.125977
2/9/2009,1167.433594,1171.459229,1143.279785,1171.459229,7086064,1171.459229
2/10/2009,1167.433594,1227.817993,1155.356689,1203.664185,10542156,1203.664185
2/11/2009,1171.459229,1215.741089,1171.459229,1195.612915,3702738,1195.612915
2/12/2009,1207.689819,1219.766724,1191.58728,1195.612915,2528018,1195.612915
2/13/2009,1195.612915,1195.612915,1187.561768,1187.561768,2394129,1187.561768
2/16/2009,1167.433594,1183.536133,1159.382324,1163.407959,3624256,1163.407959
2/17/2009,1147.30542,1147.30542,1107.049072,1115.100342,8657001,1115.100342
2/18/2009,1070.818359,1094.972168,1070.818359,1078.869629,7782613,1078.869629
2/19/2009,1107.049072,1115.100342,1074.843994,1090.946533,5568783,1090.946533
2/20/2009,1086.920898,1086.920898,1066.792725,1078.869629,2571007,1078.869629
2/23/2009,1050.690186,1054.71582,1026.536377,1026.536377,7036625,1026.536377
2/24/2009,982.2544556,986.2800903,978.2288208,978.2288208,6151283,978.2288208
2/25/2009,1026.536377,1026.536377,1010.433838,1026.536377,10815659,1026.536377
2/26/2009,1026.536377,1026.536377,986.2800903,1006.408203,3304539,1006.408203
2/27/2009,990.3057251,1042.638916,990.3057251,1026.536377,3525133,1026.536377
3/2/2009,1002.382568,1046.664551,1002.382568,1026.536377,2274403,1026.536377
3/3/2009,994.3312988,998.3569336,982.2544556,994.3312988,3611079,994.3312988
3/4/2009,990.3057251,1006.408203,990.3057251,1002.382568,2390895,1002.382568
3/5/2009,1026.536377,1030.562012,1014.459473,1026.536377,6579807,1026.536377
3/6/2009,1006.408203,1034.587646,1006.408203,1026.536377,2928210,1026.536377
3/9/2009,1014.459473,1034.587646,1014.459473,1022.510742,5306969,1022.510742
3/10/2009,1038.613281,1062.76709,1026.536377,1058.741455,12528431,1058.741455
3/11/2009,1111.074707,1111.074707,1086.920898,1103.023438,12200784,1103.023438
3/12/2009,1078.869629,1094.972168,1054.71582,1062.76709,8346225,1062.76709
3/13/2009,1066.792725,1074.843994,1054.71582,1054.71582,4075351,1054.71582
3/16/2009,1050.690186,1094.972168,1046.664551,1094.972168,11094130,1094.972168
3/17/2009,1094.972168,1143.279785,1094.972168,1143.279785,21107217,1143.279785
3/18/2009,1175.484863,1187.561768,1163.407959,1175.484863,19851003,1175.484863
3/19/2009,1147.30542,1183.536133,1119.125977,1119.125977,17422063,1119.125977
3/20/2009,1098.997803,1131.202881,1098.997803,1107.049072,6857518,1107.049072
3/23/2009,1111.074707,1111.074707,1078.869629,1103.023438,13892943,1103.023438
3/24/2009,1155.356689,1155.356689,1151.331055,1155.356689,13268442,1155.356689
3/25/2009,1147.30542,1211.715454,1147.30542,1211.715454,41655285,1211.715454
3/26/2009,1272.099976,1272.099976,1251.971802,1272.099976,24750357,1272.099976
3/27/2009,1332.484497,1332.484497,1288.202515,1288.202515,37837509,1288.202515
3/30/2009,1231.843628,1296.253784,1231.843628,1251.971802,13379734,1251.971802
3/31/2009,1247.946167,1251.971802,1207.689819,1235.869263,15365753,1235.869263
4/1/2009,1272.099976,1296.253784,1243.920532,1296.253784,21057532,1296.253784
4/2/2009,1328.458862,1360.66394,1308.330688,1360.66394,26396550,1360.66394
4/3/2009,1425.074097,1425.074097,1417.022827,1425.074097,13353146,1425.074097
4/6/2009,NA,NA,NA,NA,NA,NA
4/7/2009,1425.074097,1493.509766,1408.971558,1493.509766,33901467,1493.509766
4/8/2009,1429.099731,1557.919922,1429.099731,1429.099731,35217279,1429.099731
4/9/2009,1449.227905,1449.227905,1396.894653,1429.099731,27001444,1429.099731
4/10/2009,1497.5354,1497.5354,1497.5354,1497.5354,4844661,1497.5354
4/13/2009,1569.996826,1569.996826,1569.996826,1569.996826,3762611,1569.996826
4/14/2009,1569.996826,1606.227539,1529.740479,1606.227539,53481001,1606.227539
4/15/2009,1590.125,1662.586426,1541.817383,1541.817383,36273528,1541.817383
4/16/2009,1618.304443,1618.304443,1557.919922,1618.304443,41841582,1618.304443
4/17/2009,1569.996826,1642.458252,1537.791748,1569.996826,32326558,1569.996826
4/20/2009,1497.5354,1529.740479,1493.509766,1497.5354,40075399,1497.5354
4/21/2009,1425.074097,1569.996826,1425.074097,1569.996826,40678046,1569.996826
4/22/2009,1646.483887,1646.483887,1586.099365,1646.483887,36999115,1646.483887
4/23/2009,1650.509521,1686.740234,1630.381348,1630.381348,23438276,1630.381348
4/24/2009,1582.07373,1614.278809,1557.919922,1614.278809,18719512,1614.278809
4/27/2009,1614.278809,1630.381348,1578.048096,1590.125,19763074,1590.125
4/28/2009,1590.125,1630.381348,1586.099365,1610.253174,19265261,1610.253174
